"DATE_TIME","DC_POWER","DATE_TIME","AMBIENT_TEMPERATURE","MODULE_TEMPERATURE","IRRADIATION","DC_POWER_lag1","DC_POWER_lead1","DC_POWER_change"
2020-05-15,12319.14286,2020-05-15,27.4308227884084,32.5829641361534,0.204699030709061,12319.14286,12319.14286,0
2020-05-16,11986.57143,2020-05-16,26.7805383728896,31.8588510585498,0.211951024796167,11986.57143,11986.57143,0
2020-05-17,13217.42857,2020-05-17,26.686726958972,32.7404350928509,0.238868522489879,13217.42857,13217.42857,0
2020-05-18,13382.75,2020-05-18,23.850937509871,27.8143438253472,0.159025886306443,13382.75,13382.75,0
2020-05-19,11911.5,2020-05-19,25.3380209852279,29.7251634947389,0.194030768744445,11911.5,11911.5,0
2020-05-20,13241.14286,2020-05-20,25.0767820630249,29.3320876825703,0.228069277817996,13241.14286,13241.14286,0
2020-05-21,14038.28571,2020-05-21,27.7375752223135,37.1868704653107,0.346414269753184,14038.28571,14038.28571,0
2020-05-22,14300.28571,2020-05-22,26.5267029640377,32.4788850378472,0.230407526096181,14300.28571,14300.28571,0
2020-05-23,13848,2020-05-23,26.8396169347354,34.8018430672751,0.290073906524972,13848,13848,0
2020-05-24,13286.14286,2020-05-24,27.6251162631448,33.9785443994544,0.259762294106883,13286.14286,13286.14286,0
2020-05-25,13060.71429,2020-05-25,27.2101570477564,34.5339626692117,0.283680891509631,13060.71429,13060.71429,0
2020-05-26,13434.42857,2020-05-26,26.9044549786706,33.4731538149802,0.252610299796103,13434.42857,13434.42857,0
2020-05-27,13402.875,2020-05-27,26.835469128621,32.4202875433201,0.213932981778934,13402.875,13402.875,0
2020-05-28,13810.57143,2020-05-28,26.766278065419,33.5031744127232,0.271170667153764,13810.57143,13810.57143,0
2020-05-29,13236.57143,2020-05-29,26.4037860968563,36.3046383945217,0.313869129638105,13236.57143,13236.57143,0
2020-05-30,14224.85714,2020-05-30,24.9912232285218,30.816012287252,0.227865147588354,14224.85714,14224.85714,0
2020-05-31,13774.14286,2020-05-31,25.4725995660714,30.1607127749008,0.183598521970765,13774.14286,13774.14286,0
2020-06-01,14019.25,2020-06-01,24.7795144384386,28.9610831331464,0.183846295392168,14019.25,14019.25,0
2020-06-02,13579.57143,2020-06-02,24.3749199948413,29.4481508746032,0.223788014336464,13579.57143,13579.57143,0
2020-06-03,13579.42857,2020-06-03,24.7956723486216,29.9980628651629,0.230817987802949,13579.42857,13579.42857,0
2020-06-04,14413.42857,2020-06-04,25.2861757853175,31.2216246346726,0.256989317036178,14413.42857,14413.42857,0
2020-06-05,13598.57143,2020-06-05,24.8706222596726,30.582564656746,0.241590199894273,13598.57143,13598.57143,0
2020-06-06,13958.14286,2020-06-06,24.2473546270337,28.8027722190476,0.203404978994768,13958.14286,13958.14286,0
2020-06-07,14091.71429,2020-06-07,25.0160898110615,31.497892237996,0.254191383884441,14091.71429,14091.71429,0
2020-06-08,13326,2020-06-08,25.4412683694559,31.6219226069521,0.263703403290421,13326,13326,0
2020-06-09,13702.71429,2020-06-09,25.5457355753472,31.515744149752,0.257861180420882,13702.71429,13702.71429,0
2020-06-10,13907.85714,2020-06-10,24.7524680283234,29.2025422997024,0.200336374862226,13907.85714,13907.85714,0
2020-06-11,11249.42857,2020-06-11,24.4034103386409,27.880257155754,0.161809433784631,11249.42857,11249.42857,0
2020-06-12,10813.14286,2020-06-12,24.0723788893849,27.5858337593254,0.169807823536632,10813.14286,10813.14286,0
2020-06-13,13743.375,2020-06-13,24.5667288907242,30.4810256570436,0.264472443400974,13743.375,13743.375,0
2020-06-14,14471.125,2020-06-14,24.4128914028274,29.4217074838294,0.220085638770679,14471.125,14471.125,0
2020-06-15,12640,2020-06-15,24.8274135993552,29.9278167275794,0.205925059472936,12640,12640,0
2020-06-16,12351,2020-06-16,24.9289294194444,29.5555671369544,0.187282557113262,12351,12351,0
2020-06-17,13869.57143,2020-06-17,24.2297283431208,28.3745426138847,0.176963672627436,13869.57143,13869.57143,0
